1, 142, 0
1, 513, 0
1, 402, 0
1, 237, 0
1, 326, 0
1, 122, 0
1, 461, 0
0, 584, 0
1, 619, 0
1, 380, 0
1, 282, 0
1, 534, 0
1, 629, 0
1, 199, 0
1, 394, 0
1, 418, 0
1, 344, 0
1, 318, 0
1, 98, 0
1, 529, 0
1, 115, 0
1, 417, 1
1, 461, 0
1, 184, 0
1, 1987, 0
1, 208, 0
1, 266, 0
1, 216, 0
1, 401, 0
1, 189, 0
1, 353, 0
0, 77, 0
0, 67, 0
1, 372, 0
0, 430, 0
1, 99, 0
0, 297, 0
0, 9, 0
0, 7, 0
0, 7, 0
0, 7, 0
0, 7, 0
0, 9, 0
0, 9, 0
0, 9, 0
0, 9, 0
1, 220, 0
1, 306, 1
1, 135, 0
1, 246, 1
1, 166, 0
1, 275, 0
1, 127, 1
0, 622, 0
1, 538, 0
1, 126, 0
1, 110, 0
0, 397, 0
1, 534, 0
1, 124, 0
1, 202, 1
1, 482, 0
1, 567, 0
1, 543, 0
1, 16, 0
1, 94, 0
1, 319, 1
1, 798, 1
0, 481, 0
1, 388, 0
1, 327, 1
1, 133, 0
1, 366, 0
1, 166, 0
1, 127, 0
1, 472, 0
1, 229, 0
0, 126, 0
1, 573, 1
1, 52, 0
1, 546, 0
1, 360, 0
1, 444, 0
1, 534, 0
0, 3128, 0
1, 351, 0
1, 562, 0
1, 157, 0
1, 120, 0
1, 36, 0
0, 50, 0
1, 442, 0
0, 154, 0
1, 566, 0
1, 453, 0
1, 227, 0
1, 386, 0
0, 20, 1
0, 20, 0
0, 20, 1
1, 405, 0
1, 426, 0
1, 904, 1
1, 123, 0
0, 4000, 0
0, 4001, 0
0, 4002, 0
0, 4003, 0
0, 4004, 0
0, 4005, 0
1, 405, 0
1, 139, 0
0, 289, 0
0, 56, 1
1, 358, 0
1, 1, 1
0, 72, 0
0, 61, 0
0, 59, 0
1, 1213, 0
0, 169, 0
0, 279, 0
1, 483, 0
1, 198, 0
1, 413, 0
1, 502, 0
1, 278, 0
1, 573, 0
1, 88, 0
1, 700, 0
0, 58, 0
0, 70, 0
1, 245, 0
1, 144, 0
1, 702, 0
1, 156, 0
0, 160, 0
1, 1006, 0
1, 698, 0
1, 314, 0
1, 122, 1
0, 431, 0
1, 285, 0
1, 106, 0
0, 82, 0
1, 261, 0
1, 240, 0
1, 496, 0
1, 413, 0
0, 98, 0
0, 166, 0
1, 55, 0
0, 452, 0
0, 4000, 1
0, 4001, 1
0, 4002, 1
0, 4003, 1
0, 4004, 1
0, 4005, 1
1, 162, 0
1, 376, 0
1, 385, 0
1, 153, 0
1, 125, 0
1, 638, 0
1, 204, 0
1, 233, 0
1, 133, 0
1, 279, 0
1, 597, 0
0, 899, 0
1, 428, 0
1, 53, 0
1, 318, 0
0, 201, 0
1, 118, 0
1, 431, 0
1, 670, 0
0, 167, 0
1, 534, 0
1, 102, 0
1, 533, 0
1, 386, 0
0, 271, 0
0, 71, 0
1, 145, 0
1, 190, 0
1, 53, 0
1, 515, 0
1, 462, 0
1, 260, 0
1, 275, 0
1, 673, 1
1, 442, 0
0, 270, 0
1, 344, 0
1, 559, 0
1, 600, 0
1, 601, 1
1, 145, 0
1, 260, 0
0, 426, 0
1, 253, 0
1, 603, 0
1, 458, 0
1, 600, 0
0, 211, 0
1, 593, 1
1, 163, 0
1, 544, 0
1, 233, 0
1, 97, 0
1, 512, 0
1, 119, 0
1, 742, 0
1, 767, 0
0, 218, 0
1, 613, 0
1, 209, 0
1, 156, 0
1, 123, 0
0, 59, 0
1, 789, 0
1, 141, 0
0, 509, 0
1, 130, 0
1, 215, 0
1, 441, 0
1, 86, 1
1, 210, 0
1, 661, 0
1, 238, 0
0, 612, 1
1, 767, 0
1, 239, 0
1, 122, 0
1, 357, 0
1, 907, 0
1, 187, 0
1, 177, 0
1, 580, 0
1, 528, 0
1, 869, 0
0, 108, 1
1, 834, 0
0, 447, 0
0, 448, 0
1, 96, 0
1, 398, 0
1, 499, 0
1, 144, 0
1, 483, 0
1, 179, 1
1, 571, 0
1, 115, 0
1, 133, 0
1, 470, 0
1, 600, 0
0, 303, 0
1, 220, 0
1, 78, 0
1, 1, 0
1, 80, 0
1, 454, 0
0, 55, 0
1, 184, 0
1, 427, 1
1, 601, 0
1, 565, 0
1, 352, 0
1, 290, 0
1, 124, 0
1, 137, 0
1, 133, 0
1, 462, 0
1, 83, 0
1, 402, 1
1, 110, 1
1, 399, 0
1, 262, 0
1, 414, 0
1, 117, 0
1, 73, 0
1, 143, 0
1, 254, 0
1, 423, 0
1, 86, 1
1, 130, 0
1, 255, 0
1, 475, 0
0, 171, 0
0, 4000, 0
0, 4001, 0
0, 4002, 0
0, 4003, 0
0, 4004, 0
0, 4005, 0
0, 236, 0
1, 192, 0
1, 340, 0
1, 235, 0
1, 118, 0
1, 158, 0
1, 61, 0
0, 95, 0
1, 166, 0
1, 103, 0
1, 132, 0
1, 232, 0
0, 396, 0
0, 439, 0
0, 50, 0
1, 169, 0
1, 147, 0
1, 301, 0
1, 66, 0
1, 202, 0
1, 381, 1
1, 765, 0
0, 527, 0
1, 343, 0
1, 539, 0
1, 536, 0
0, 132, 0
0, 573, 0
1, 148, 1
0, 171, 0
1, 533, 0
1, 104, 0
1, 435, 0
1, 576, 0
0, 27, 0
1, 406, 0
0, 174, 0
1, 516, 0
1, 936, 0
1, 117, 0
1, 212, 0
1, 586, 0
1, 153, 0
1, 96, 0
1, 424, 0
1, 375, 1
1, 90, 0
1, 320, 0
1, 2003, 0
1, 546, 0
0, 200, 0
1, 221, 0
1, 451, 0
1, 180, 0
1, 449, 0
1, 575, 1
1, 126, 0
1, 598, 0
1, 485, 0
1, 138, 0
1, 88, 0
0, 5, 1
0, 5, 0
1, 1, 0
0, 5, 0
0, 5, 0
1, 1, 0
0, 10, 0
0, 10, 0
0, 10, 0
1, 72, 0
1, 147, 0
1, 489, 0
1, 493, 0
1, 642, 0
1, 432, 0
1, 473, 0
1, 202, 0
0, 76, 1
1, 107, 0
1, 380, 0
1, 424, 1
0, 448, 0
1, 468, 0
0, 422, 0
1, 157, 0
0, 35, 0
1, 352, 0
1, 101, 0
1, 342, 0
1, 424, 0
0, 141, 0
0, 118, 0
1, 108, 0
1, 136, 0
1, 586, 0
1, 318, 0
1, 218, 0
1, 234, 0
1, 638, 0
1, 246, 1
1, 1065, 0
1, 193, 0
1, 406, 0
0, 814, 0
1, 209, 0
0, 210, 0
1, 167, 0
1, 286, 0
1, 125, 0
1, 401, 0
1, 407, 0
0, 189, 0
1, 435, 0
0, 715, 0
1, 637, 0
1, 438, 0
1, 276, 0
1, 216, 0
0, 502, 0
1, 546, 0
0, 301, 1
1, 128, 0
1, 116, 0
1, 319, 0
1, 424, 0
1, 116, 0
1, 102, 0
1, 334, 0
0, 263, 0
1, 262, 0
1, 134, 0
1, 404, 0
1, 101, 0
1, 180, 0
1, 495, 0
1, 243, 0
0, 761, 0
1, 232, 0
1, 613, 0
1, 175, 0
1, 110, 0
1, 178, 0
1, 70, 0
0, 91, 0
1, 550, 1
1, 321, 0
0, 830, 0
1, 73, 0
1, 506, 0
1, 107, 0
1, 80, 1
0, 1510, 0
1, 530, 1
1, 122, 0
1, 591, 1
0, 485, 1
1, 311, 0
1, 378, 0
1, 485, 0
0, 64, 0
1, 137, 0
0, 166, 0
1, 232, 0
1, 168, 0
1, 106, 0
1, 671, 0
1, 376, 0
0, 203, 0
1, 316, 0
0, 432, 1
1, 563, 0
1, 68, 0
1, 549, 0
0, 21, 0
1, 205, 0
0, 14, 0
0, 14, 0
0, 14, 0
0, 14, 0
1, 1, 1
1, 152, 0
0, 14, 0
0, 14, 0
0, 14, 0
1, 541, 0
1, 46, 0
1, 327, 0
1, 129, 0
1, 865, 0
1, 156, 0
1, 349, 0
1, 342, 1
1, 41, 0
1, 444, 0
1, 141, 0
0, 7, 0
0, 7, 0
0, 7, 0
0, 7, 0
0, 10, 0
0, 10, 0
0, 10, 0
0, 10, 0
1, 302, 0
1, 205, 0
1, 594, 0
1, 546, 0
1, 500, 0
0, 3215, 1
1, 168, 0
0, 575, 0
0, 59, 0
0, 58, 0
1, 454, 0
1, 426, 0
1, 534, 0
1, 370, 0
1, 478, 0
1, 564, 0
1, 415, 0
1, 189, 0
1, 64, 0
0, 877, 0
1, 570, 0
1, 570, 0
1, 88, 0
1, 284, 0
1, 442, 0
1, 297, 0
1, 498, 0
1, 164, 0
1, 110, 0
1, 609, 0
1, 382, 0
0, 160, 0
1, 122, 0
1, 208, 0
1, 168, 0
0, 86, 0
1, 221, 0
1, 132, 0
1, 123, 0
1, 312, 0
1, 456, 0
1, 378, 0
1, 406, 1
0, 193, 0
1, 281, 0
1, 339, 0
0, 242, 0
0, 58, 0
1, 509, 0
0, 60, 0
0, 1003, 0
1, 205, 0
1, 421, 0
0, 55, 0
0, 54, 0
1, 589, 0
1, 579, 0
1, 471, 0
1, 63, 0
1, 224, 0
1, 1101, 0
1, 294, 0
0, 1262, 0
1, 58, 0
1, 556, 0
1, 76, 0
1, 409, 0
1, 474, 0
1, 138, 0
1, 173, 0
1, 367, 0
0, 51, 0
1, 610, 0
1, 527, 0
1, 162, 0
1, 106, 0
1, 224, 0
1, 61, 0
1, 148, 0
0, 677, 0
1, 104, 0
0, 2, 0
0, 171, 0
1, 120, 0
1, 169, 0
0, 48, 0
0, 30, 0
0, 30, 0
0, 34, 0
1, 104, 0
1, 116, 1
1, 576, 0
1, 422, 0
1, 404, 0
1, 153, 0
0, 91, 0
1, 157, 1
1, 577, 0
0, 67, 0
1, 140, 0
1, 277, 0
0, 56, 0
1, 535, 0
1, 357, 1
1, 410, 0
1, 156, 0
1, 434, 0
1, 121, 0
1, 933, 0
0, 657, 0
1, 577, 0
1, 117, 0
1, 437, 1
1, 234, 0
1, 111, 1
1, 416, 0
1, 1, 0
1, 150, 0
0, 93, 0
0, 982, 1
1, 548, 0
1, 520, 0
1, 455, 0
0, 94, 0
1, 190, 0
1, 85, 0
1, 406, 0
1, 369, 0
0, 60, 0
1, 391, 0
1, 465, 0
0, 59, 0
0, 59, 0
1, 479, 0
1, 164, 0
0, 14, 0
1, 453, 0
0, 31, 0
0, 29, 0
1, 111, 0
1, 369, 1
1, 488, 0
0, 81, 0
0, 83, 0
1, 176, 0
1, 336, 0
1, 222, 0
0, 95, 0
1, 420, 0
1, 268, 0
1, 553, 0
1, 94, 0
1, 233, 0
1, 564, 0
1, 500, 1
1, 156, 0
1, 216, 0
1, 106, 0
1, 117, 1
1, 541, 0
1, 203, 0
1, 226, 1
0, 145, 0
1, 691, 0
1, 341, 0
1, 238, 0
1, 1336, 0
1, 79, 0
1, 627, 0
1, 175, 0
0, 52, 1
0, 49, 0
1, 686, 0
1, 469, 0
1, 158, 0
1, 525, 0
1, 492, 0
0, 1, 0
1, 158, 0
1, 155, 0
0, 613, 1
1, 113, 0
1, 99, 0
0, 160, 0
0, 57, 0
0, 56, 0
0, 91, 0
1, 314, 0
1, 438, 0
1, 113, 0
1, 168, 0
1, 379, 0
1, 924, 0
1, 342, 0
1, 40, 0
1, 207, 0
0, 52, 0
0, 175, 0
1, 81, 0
1, 74, 0
1, 250, 0
1, 94, 0
0, 50, 0
1, 627, 0
1, 500, 0
1, 152, 0
1, 146, 0
1, 381, 0
1, 486, 0
1, 244, 1
1, 274, 0
0, 195, 0
1, 212, 0
1, 298, 0
0, 90, 0
1, 158, 0
0, 172, 0
1, 94, 0
1, 122, 0
1, 105, 0
1, 260, 0
1, 545, 0
0, 239, 0
1, 529, 0
0, 169, 0
1, 468, 0
0, 1446, 0
1, 99, 0
1, 493, 0
1, 552, 0
1, 356, 0
0, 91, 0
1, 230, 0
1, 29, 0
1, 101, 1
1, 336, 0
1, 360, 0
0, 306, 1
1, 72, 0
0, 251, 0
0, 268, 0
1, 103, 0
1, 148, 0
1, 597, 0
1, 170, 0
1, 107, 0
1, 477, 0
1, 493, 0
1, 618, 1
0, 34, 0
0, 34, 0
0, 34, 0
0, 34, 0
0, 34, 0
0, 34, 0
0, 34, 0
0, 34, 0
0, 34, 0
0, 34, 0
0, 34, 0
0, 34, 0
0, 34, 0
0, 31, 1
0, 85, 1
0, 26, 0
1, 357, 0
1, 169, 0
1, 227, 0
1, 188, 0
1, 637, 0
0, 54, 0
1, 190, 0
0, 50, 0
0, 65, 0
1, 184, 0
1, 580, 0
1, 144, 0
1, 450, 0
1, 191, 0
1, 510, 0
1, 929, 0
1, 107, 0
1, 412, 0
1, 91, 0
0, 51, 0
1, 590, 0
1, 501, 0
1, 132, 0
1, 261, 0
1, 553, 0
1, 561, 0
1, 419, 0
1, 220, 0
0, 48, 0
1, 337, 0
1, 210, 0
1, 387, 0
0, 105, 0
1, 315, 0
1, 106, 0
1, 262, 0
1, 247, 0
1, 383, 0
1, 371, 1
1, 204, 0
0, 748, 0
1, 77, 0
1, 159, 0
1, 224, 0
1, 480, 0
1, 503, 0
1, 201, 0
1, 210, 0
1, 628, 0
1, 507, 0
0, 745, 0
1, 64, 0
1, 81, 0
1, 541, 0
1, 185, 0
0, 154, 1
1, 870, 1
1, 401, 0
1, 461, 1
1, 485, 0
1, 239, 0
1, 362, 0
1, 643, 0
1, 111, 0
1, 490, 0
1, 914, 0
0, 633, 1
1, 77, 0
1, 527, 0
1, 408, 0
0, 44, 1
1, 530, 0
0, 51, 0
1, 121, 0
1, 395, 0
1, 257, 0
1, 316, 0
1, 168, 1
1, 588, 0
1, 219, 0
1, 561, 0
1, 267, 0
1, 522, 0
1, 401, 0
1, 353, 0
1, 395, 0
0, 71, 0
1, 1136, 0
1, 83, 0
1, 378, 0
1, 123, 0
1, 408, 0
1, 523, 0
0, 1, 0
0, 22, 0
0, 4000, 0
0, 4001, 0
0, 4002, 0
0, 4003, 0
0, 4004, 0
0, 4005, 0
0, 341, 0
1, 275, 0
1, 260, 0
1, 44, 0
1, 108, 0
1, 95, 0
1, 295, 0
0, 234, 0
1, 213, 0
1, 71, 1
1, 494, 0
1, 69, 0
1, 122, 0
1, 157, 0
1, 548, 0
0, 1183, 0
0, 48, 0
1, 596, 0
0, 214, 0
1, 641, 0
1, 496, 0
1, 111, 0
1, 155, 0
1, 170, 0
1, 597, 0
1, 548, 0
1, 168, 0
1, 646, 0
1, 296, 0
0, 182, 0
1, 225, 0
0, 2840, 0
1, 254, 0
1, 326, 0
0, 2315, 0
1, 90, 0
1, 673, 1
0, 465, 0
0, 4000, 0
0, 4001, 0
0, 4002, 0
0, 4003, 0
0, 4004, 0
0, 4005, 0
1, 491, 1
1, 225, 1
1, 244, 0
1, 223, 0
1, 556, 1
1, 532, 0
1, 133, 0
1, 433, 0
1, 382, 0
1, 107, 1
1, 326, 0
1, 236, 0
1, 87, 0
1, 1709, 0
1, 221, 0
1, 323, 0
1, 93, 0
0, 222, 1
1, 293, 0
1, 254, 0
0, 9, 0
0, 10, 0
0, 10, 0
0, 12, 0
1, 597, 0
1, 192, 0
1, 244, 0
1, 471, 0
1, 314, 0
1, 226, 0
1, 374, 0
1, 122, 0
1, 154, 0
1, 423, 0
1, 587, 0
0, 24, 0
0, 24, 1
0, 24, 0
0, 24, 0
0, 24, 0
0, 24, 0
0, 24, 0
0, 24, 0
0, 24, 0
0, 24, 0
0, 24, 0
0, 24, 0
0, 24, 0
0, 24, 1
0, 24, 0
0, 22, 0
0, 22, 0
1, 118, 0
1, 82, 0
1, 425, 0
1, 220, 0
1, 112, 0
0, 236, 0
1, 489, 0
0, 234, 1
1, 450, 0
1, 341, 0
1, 95, 0
1, 439, 0
0, 2247, 0
1, 400, 0
1, 531, 0
1, 149, 0
0, 858, 0
1, 71, 0
1, 574, 0
1, 172, 0
1, 199, 0
1, 122, 0
1, 128, 0
1, 250, 0
1, 435, 1
1, 254, 0
1, 373, 0
1, 134, 0
1, 402, 0
1, 148, 0
1, 207, 0
1, 450, 0
1, 481, 0
1, 360, 0
0, 1712, 0
1, 562, 0
1, 538, 0
1, 673, 0
1, 421, 0
1, 456, 0
1, 199, 0
0, 2946, 0
0, 84, 0
1, 620, 0
1, 501, 0
0, 76, 0
1, 413, 0
1, 822, 0
1, 1027, 0
1, 567, 0
1, 233, 0
1, 212, 0
1, 456, 0
1, 198, 0
1, 437, 0
1, 200, 0
1, 562, 1
1, 318, 0
0, 90, 0
0, 1307, 1
1, 86, 0
1, 129, 1
1, 51, 0
1, 111, 0
1, 136, 0
1, 110, 0
1, 398, 0
1, 249, 0
0, 175, 0
1, 89, 0
1, 173, 0
0, 178, 0
0, 541, 1
1, 441, 0
0, 223, 0
1, 475, 0
1, 401, 0
1, 211, 0
1, 73, 1
1, 357, 0
1, 260, 0
1, 119, 0
1, 269, 0
1, 252, 0
1, 554, 0
0, 48, 0
0, 47, 0
1, 269, 0
1, 1193, 0
1, 510, 0
0, 4000, 0
0, 4001, 0
0, 4002, 0
0, 4003, 0
0, 4004, 0
0, 4005, 0
0, 91, 0
1, 613, 0
1, 544, 0
1, 118, 0
1, 430, 0
1, 386, 0
1, 423, 0
1, 468, 0
1, 124, 1
1, 213, 0
1, 101, 0
1, 366, 0
1, 116, 0
1, 104, 0
1, 395, 0
1, 30, 1
1, 182, 0
1, 103, 0
0, 601, 0
1, 124, 0
1, 603, 0
1, 153, 0
1, 564, 0
1, 360, 0
1, 337, 0
1, 373, 1
1, 338, 0
1, 420, 0
1, 399, 0
0, 6, 0
0, 6, 0
0, 13, 0
0, 13, 0
0, 18, 0
0, 18, 0
1, 596, 0
1, 253, 0
1, 187, 0
1, 192, 0
1, 416, 0
1, 423, 0
0, 4000, 0
0, 4001, 0
0, 4002, 0
0, 4003, 0
0, 4004, 0
0, 4005, 0
1, 289, 0
1, 209, 0
1, 169, 0
1, 578, 0
1, 121, 0
1, 521, 0
1, 355, 0
0, 660, 0
1, 221, 0
1, 254, 0
1, 129, 0
1, 24, 0
1, 443, 0
1, 491, 1
1, 389, 0
1, 439, 0
1, 789, 0
1, 518, 0
1, 223, 0
1, 180, 0
1, 413, 0
1, 134, 0
1, 94, 1
1, 232, 0
1, 411, 0
1, 531, 0
1, 512, 0
1, 287, 0
1, 400, 0
1, 94, 0
1, 368, 0
1, 649, 0
1, 154, 0
1, 165, 0
0, 158, 0
0, 584, 1
1, 195, 0
0, 512, 0
1, 126, 0
1, 151, 1
1, 416, 0
1, 82, 0
0, 3273, 0
1, 368, 0
1, 128, 0
1, 512, 0
1, 83, 0
1, 104, 0
1, 198, 0
1, 543, 0
1, 120, 0
0, 91, 0
0, 95, 0
1, 209, 0
1, 98, 0
1, 266, 0
1, 622, 0
1, 317, 0
1, 156, 0
1, 360, 0
1, 436, 0
1, 449, 0
1, 125, 0
1, 1040, 0
1, 210, 0
1, 144, 0
0, 72, 0
1, 164, 1
1, 480, 0
1, 249, 0
1, 202, 0
1, 690, 0
1, 136, 0
1, 283, 0
1, 111, 0
1, 101, 0
1, 235, 0
1, 541, 0
1, 386, 0
1, 343, 0
1, 633, 0
1, 180, 0
0, 46, 0
1, 106, 0
1, 115, 0
1, 601, 0
1, 175, 0
1, 224, 0
1, 555, 0
1, 499, 0
1, 219, 0
1, 948, 0
0, 42, 0
0, 438, 0
0, 324, 0
1, 286, 0
1, 418, 0
1, 486, 0
0, 2321, 0
0, 15, 0
0, 15, 0
1, 147, 0
0, 31, 0
0, 35, 0
0, 39, 0
1, 413, 0
1, 405, 0
1, 157, 0
0, 4000, 0
0, 4001, 0
0, 4002, 0
0, 4003, 0
0, 4004, 0
0, 4005, 0
1, 119, 0
1, 333, 0
1, 356, 0
1, 109, 0
1, 213, 0
1, 262, 0
1, 443, 0
1, 64, 0
1, 593, 0
1, 32, 0
1, 585, 0
1, 597, 0
0, 572, 0
1, 221, 0
0, 83, 0
0, 168, 0
1, 256, 0
1, 179, 0
1, 132, 0
1, 113, 0
1, 154, 0
0, 412, 0
1, 75, 0
1, 157, 0
1, 115, 0
0, 558, 1
1, 107, 0
0, 90, 0
1, 316, 0
1, 201, 0
1, 195, 0
1, 299, 0
1, 146, 0
1, 593, 0
1, 332, 0
1, 459, 0
0, 31, 0
1, 213, 0
1, 166, 0
1, 590, 0
0, 235, 0
1, 619, 0
1, 278, 0
1, 373, 0
0, 3010, 1
1, 577, 0
1, 380, 1
1, 498, 0
1, 395, 0
1, 695, 0
1, 175, 0
1, 114, 0
0, 580, 0
1, 355, 0
1, 249, 0
1, 158, 0
1, 1420, 0
1, 221, 0
0, 165, 0
1, 112, 0
0, 195, 0
0, 4000, 0
0, 4001, 0
0, 4002, 0
0, 4003, 0
0, 4004, 0
0, 4005, 0
0, 1598, 0
1, 114, 0
1, 80, 0
1, 489, 0
1, 119, 0
1, 140, 0
1, 506, 0
1, 480, 0
1, 512, 0
0, 448, 0
1, 105, 0
1, 434, 0
1, 145, 0
1, 210, 0
0, 487, 0
1, 370, 0
1, 229, 1
1, 541, 0
1, 325, 0
1, 129, 0
1, 139, 0
1, 59, 0
1, 602, 0
1, 185, 0
1, 101, 1
0, 48, 0
1, 117, 0
1, 185, 0
1, 266, 1
1, 203, 0
1, 181, 1
0, 786, 0
1, 423, 1
1, 567, 0
1, 173, 0
1, 121, 0
1, 42, 0
0, 801, 0
0, 79, 0
0, 156, 0
1, 468, 0
1, 572, 0
1, 436, 0
1, 480, 0
0, 1002, 0
1, 561, 0
1, 358, 1
1, 625, 0
1, 476, 0
1, 445, 0
1, 123, 0
0, 448, 0
0, 430, 0
1, 73, 0
1, 145, 0
1, 517, 0
1, 137, 0
1, 89, 0
1, 329, 0
1, 168, 0
1, 1065, 0
1, 384, 0
0, 71, 0
1, 385, 0
1, 70, 0
1, 201, 0
1, 306, 0
0, 246, 0
1, 772, 0
0, 202, 0
1, 115, 0
0, 3148, 0
0, 929, 0
1, 84, 1
1, 747, 0
1, 130, 0
1, 143, 0
1, 494, 0
1, 162, 0
1, 139, 0
1, 221, 0
1, 179, 0
1, 265, 0
0, 91, 0
1, 268, 0
1, 499, 0
1, 127, 0
1, 119, 0
1, 618, 0
1, 521, 0
1, 246, 0
1, 114, 0
1, 597, 0
1, 166, 0
1, 137, 0
1, 543, 0
1, 241, 0
1, 482, 0
1, 409, 0
1, 573, 0
1, 231, 0
1, 142, 0
0, 273, 0
0, 261, 0
1, 164, 1
0, 2149, 0
1, 287, 0
0, 1, 0
0, 1, 0
0, 1, 0
0, 1, 0
0, 1, 0
0, 1, 0
0, 1, 0
0, 1, 0
0, 1, 0
0, 1, 0
0, 1, 0
0, 1, 0
0, 1, 0
0, 1, 1
0, 1, 0
0, 1, 0
1, 143, 0
1, 137, 0
1, 120, 0
1, 172, 0
1, 295, 0
1, 891, 0
1, 432, 0
1, 378, 0
1, 439, 0
1, 90, 0
0, 518, 0
1, 413, 0
1, 200, 0
1, 181, 0
1, 458, 0
0, 2300, 0
1, 524, 0
1, 224, 0
1, 235, 0
1, 179, 0
1, 19, 0
0, 252, 1
1, 128, 0
1, 96, 0
1, 412, 0
1, 521, 0
1, 485, 0
1, 300, 0
1, 66, 1
1, 105, 0
1, 377, 0
1, 133, 0
1, 487, 0
1, 536, 0
1, 402, 0
1, 47, 0
1, 548, 0
1, 346, 0
1, 405, 0
0, 293, 0
1, 358, 0
1, 45, 0
0, 270, 0
1, 680, 0
1, 119, 1
1, 132, 0
1, 226, 0
0, 1434, 0
1, 369, 0
1, 435, 0
1, 499, 0
1, 526, 0
1, 390, 0
0, 242, 1
1, 495, 0
1, 98, 0
1, 735, 0
1, 534, 0
1, 517, 0
1, 270, 0
1, 1352, 0
1, 204, 0
1, 36, 0
1, 637, 0
1, 251, 0
1, 23, 0
1, 120, 1
1, 499, 0
1, 503, 0
1, 621, 0
1, 160, 0
1, 430, 0
1, 120, 0
0, 404, 0
0, 361, 0
1, 514, 0
1, 376, 0
1, 71, 0
1, 84, 0
1, 138, 0
1, 141, 0
1, 443, 0
1, 361, 1
1, 106, 0
1, 155, 0
1, 466, 0
1, 117, 0
1, 432, 0
1, 151, 0
1, 176, 0
1, 160, 0
0, 15, 0
0, 15, 0
0, 15, 0
0, 16, 0
1, 119, 0
1, 159, 0
0, 58, 1
1, 382, 0
1, 90, 0
0, 284, 1
1, 150, 0
0, 4000, 0
0, 4001, 0
0, 4002, 0
0, 4003, 0
0, 4004, 0
0, 4005, 0
0, 277, 0
1, 242, 0
1, 574, 0
1, 519, 0
0, 29, 0
0, 29, 0
1, 664, 0
0, 1000, 1
1, 832, 0
1, 534, 0
1, 440, 0
1, 152, 0
1, 100, 0
1, 248, 0
1, 163, 0
1, 439, 0
1, 91, 0
1, 217, 0
1, 139, 0
1, 124, 0
0, 202, 0
1, 149, 0
1, 589, 0
1, 448, 0
1, 473, 0
1, 46, 1
1, 202, 0
1, 118, 0
1, 67, 0
1, 39, 0
1, 377, 0
1, 246, 0
1, 234, 0
1, 161, 0
0, 519, 0
1, 684, 0
1, 222, 0
1, 427, 0
1, 225, 0
1, 115, 0
1, 426, 0
1, 507, 0
1, 394, 0
1, 237, 0
1, 314, 0
1, 497, 0
0, 316, 0
1, 463, 1
1, 471, 0
1, 176, 0
1, 249, 0
1, 264, 0
1, 173, 0
1, 312, 0
1, 145, 0
1, 1120, 0
1, 592, 0
1, 527, 0
1, 95, 0
1, 452, 0
1, 181, 0
0, 1, 0
0, 286, 0
1, 355, 0
1, 404, 0
1, 2895, 0
1, 554, 0
1, 686, 0
1, 396, 1
1, 392, 0
1, 533, 0
1, 492, 0
0, 199, 0
1, 445, 0
1, 380, 0
1, 258, 0
1, 409, 0
1, 157, 0
1, 318, 1
1, 78, 0
1, 83, 1
0, 4000, 0
0, 4001, 0
0, 4002, 0
0, 4003, 0
0, 4004, 0
0, 4005, 0
1, 143, 0
0, 92, 1
1, 276, 0
1, 146, 0
0, 131, 0
1, 286, 0
1, 75, 0
1, 584, 1
0, 102, 0
1, 532, 1
1, 106, 0
1, 99, 0
1, 201, 1
1, 431, 0
0, 440, 0
1, 126, 0
1, 483, 0
0, 1041, 0
1, 542, 0
1, 378, 0
1, 87, 0
1, 148, 0
1, 134, 0
1, 168, 0
1, 118, 0
1, 202, 0
1, 1059, 0
1, 59, 0
1, 355, 0
1, 324, 0
0, 4000, 0
0, 4001, 0
0, 4002, 0
0, 4003, 0
0, 4004, 0
0, 4005, 0
1, 107, 0
1, 231, 0
1, 199, 0
0, 91, 0
1, 103, 0
1, 672, 0
1, 524, 0
0, 52, 0
1, 488, 0
1, 515, 0
0, 1408, 0
1, 135, 0
1, 99, 0
1, 56, 0
1, 476, 0
1, 212, 0
1, 226, 1
1, 113, 0
1, 149, 0
1, 196, 0
1, 374, 1
0, 61, 0
1, 231, 0
1, 196, 0
1, 560, 0
0, 270, 0
1, 333, 0
1, 357, 0
0, 484, 0
1, 209, 0
1, 204, 0
1, 238, 1
1, 137, 0
0, 221, 0
1, 500, 0
1, 374, 1
1, 180, 0
0, 331, 0
1, 303, 1
1, 422, 0
1, 217, 0
1, 200, 0
1, 243, 1
1, 488, 0
1, 144, 0
1, 550, 0
1, 750, 0
1, 53, 0
1, 268, 0
1, 476, 0
1, 271, 0
1, 234, 0
0, 1490, 0
1, 436, 0
1, 125, 0
1, 382, 0
1, 120, 0
1, 550, 1
1, 436, 0
1, 270, 0
1, 616, 0
1, 216, 0
1, 102, 0
0, 338, 0
1, 619, 0
1, 326, 0
1, 25, 0
0, 62, 0
0, 110, 0
1, 589, 0
0, 76, 0
1, 718, 0
0, 4000, 0
0, 4001, 0
0, 4002, 0
0, 4003, 0
0, 4004, 0
0, 4005, 0
1, 158, 0
1, 898, 0
1, 494, 0
1, 112, 0
1, 207, 0
1, 71, 0
1, 89, 0
1, 136, 0
1, 222, 0
1, 136, 0
1, 598, 0
1, 74, 0
1, 151, 0
0, 1, 0
0, 9, 0
