1, 328, 0
1, 376, 0
1, 137, 0
1, 559, 0
1, 705, 0
1, 85, 1
1, 460, 0
1, 151, 0
1, 30, 0
1, 554, 1
0, 48, 0
1, 368, 0
1, 492, 0
1, 121, 0
1, 956, 0
1, 212, 0
1, 409, 0
1, 318, 0
1, 426, 0
0, 141, 0
1, 600, 0
1, 550, 0
1, 515, 0
1, 765, 1
0, 1, 0
0, 1, 0
0, 1, 0
0, 1, 0
0, 1, 0
0, 1, 0
0, 1, 0
0, 1, 1
0, 1, 0
0, 1, 0
0, 1, 0
0, 1, 0
0, 1, 0
0, 1, 0
0, 1, 0
0, 1, 0
0, 1, 0
0, 1, 0
0, 1, 0
0, 1, 0
0, 1, 1
0, 1, 0
0, 1, 0
0, 1, 0
0, 1, 0
0, 1, 1
0, 1, 0
0, 1, 1
0, 1, 1
0, 1, 0
0, 1, 0
0, 1, 0
0, 1, 0
0, 1, 1
0, 1, 0
0, 1, 0
0, 1, 0
0, 1, 0
0, 1, 0
0, 1, 0
0, 1, 0
0, 1, 0
1, 561, 0
1, 27, 0
1, 479, 0
1, 87, 1
1, 240, 0
1, 429, 0
1, 520, 0
0, 28, 0
0, 53, 0
0, 19, 0
0, 19, 0
0, 19, 0
0, 14, 0
0, 14, 0
0, 11, 0
0, 10, 0
0, 10, 0
0, 10, 0
0, 10, 0
0, 10, 0
0, 10, 0
0, 10, 0
0, 48, 0
0, 168, 0
1, 553, 0
1, 253, 0
1, 689, 0
1, 191, 0
1, 196, 0
1, 201, 0
1, 708, 0
1, 109, 0
0, 782, 0
0, 51, 0
1, 1636, 0
0, 200, 0
1, 265, 0
1, 510, 0
1, 497, 1
1, 642, 0
1, 465, 0
1, 599, 0
1, 437, 0
0, 47, 0
0, 50, 0
1, 427, 0
1, 433, 0
1, 584, 0
1, 427, 0
1, 627, 1
1, 395, 0
0, 1, 0
1, 523, 0
1, 550, 0
1, 373, 0
1, 583, 0
1, 219, 0
1, 204, 0
1, 602, 0
1, 513, 0
1, 184, 0
1, 135, 0
0, 536, 0
1, 232, 0
0, 502, 0
1, 269, 0
1, 210, 0
1, 390, 0
1, 532, 0
1, 141, 0
1, 1128, 0
1, 129, 0
1, 380, 0
1, 476, 0
1, 450, 1
1, 523, 0
1, 478, 0
1, 65, 0
1, 678, 1
1, 343, 0
1, 184, 0
1, 629, 0
1, 307, 0
1, 522, 0
0, 27, 0
0, 22, 0
0, 22, 0
0, 18, 0
0, 18, 0
0, 13, 0
0, 13, 0
0, 13, 0
0, 9, 1
0, 9, 0
0, 9, 0
0, 9, 0
0, 9, 0
0, 9, 0
0, 9, 0
0, 9, 1
1, 404, 0
1, 535, 0
1, 407, 0
1, 207, 1
1, 140, 0
1, 91, 0
1, 139, 0
0, 13, 0
0, 13, 0
0, 17, 0
0, 17, 0
0, 22, 0
1, 564, 0
1, 137, 0
1, 369, 0
1, 172, 0
0, 47, 0
1, 383, 0
0, 53, 0
0, 443, 0
1, 408, 0
0, 183, 0
0, 50, 0
0, 48, 0
0, 41, 0
1, 588, 0
0, 457, 0
1, 153, 1
0, 113, 0
1, 384, 0
1, 104, 0
1, 446, 0
1, 475, 0
1, 598, 0
1, 120, 0
1, 92, 0
0, 64, 0
0, 192, 0
1, 519, 0
1, 166, 0
1, 349, 0
1, 440, 0
1, 480, 0
1, 537, 0
1, 584, 0
0, 215, 0
1, 163, 0
1, 503, 0
1, 782, 0
0, 1, 0
0, 237, 0
1, 498, 0
0, 201, 0
1, 112, 0
1, 432, 0
0, 27, 0
1, 257, 0
1, 548, 0
1, 423, 0
0, 502, 0
0, 206, 0
1, 686, 0
1, 387, 0
1, 177, 0
1, 565, 0
1, 578, 0
1, 240, 0
1, 463, 0
0, 516, 0
1, 413, 1
1, 135, 0
1, 227, 0
1, 24, 0
1, 488, 0
1, 502, 0
1, 406, 0
1, 287, 0
1, 649, 0
1, 461, 0
1, 975, 0
0, 263, 0
1, 357, 0
1, 584, 0
1, 688, 0
1, 622, 0
1, 125, 0
1, 106, 1
1, 126, 0
1, 187, 0
1, 903, 0
1, 736, 0
0, 575, 1
1, 433, 0
1, 74, 1
1, 149, 0
1, 325, 0
1, 335, 0
1, 8, 0
0, 219, 0
1, 234, 0
1, 89, 0
1, 582, 0
1, 411, 0
1, 650, 0
1, 477, 0
1, 263, 0
1, 188, 0
1, 200, 0
0, 40, 0
1, 330, 0
0, 1, 0
0, 1, 0
0, 234, 0
0, 46, 0
0, 52, 0
1, 236, 0
0, 22, 0
0, 19, 0
0, 20, 0
1, 399, 0
0, 53, 0
0, 48, 0
0, 31, 1
0, 33, 0
0, 36, 0
0, 38, 0
0, 42, 0
0, 21, 0
0, 21, 0
0, 23, 0
0, 23, 0
0, 27, 0
0, 57, 0
0, 61, 0
0, 23, 0
0, 23, 0
0, 25, 0
0, 21, 0
0, 17, 1
0, 17, 0
0, 11, 0
0, 11, 0
0, 9, 0
0, 2, 0
0, 2, 0
0, 2, 0
0, 2, 0
0, 2, 0
0, 2, 0
0, 2, 0
0, 2, 0
0, 47, 0
0, 47, 0
1, 176, 0
1, 370, 0
1, 199, 0
1, 487, 0
1, 429, 0
1, 768, 0
1, 482, 0
1, 611, 1
1, 291, 0
1, 109, 0
1, 117, 1
0, 308, 1
1, 213, 0
1, 299, 0
1, 360, 0
1, 519, 0
1, 75, 0
1, 634, 0
1, 205, 0
0, 110, 0
1, 395, 0
1, 483, 0
0, 349, 0
1, 381, 1
1, 123, 0
1, 470, 0
1, 404, 0
1, 467, 0
0, 509, 0
1, 331, 0
1, 521, 0
0, 63, 0
0, 41, 0
1, 171, 0
1, 201, 0
1, 195, 0
1, 111, 0
1, 755, 0
1, 442, 0
0, 189, 0
1, 127, 0
1, 645, 0
1, 366, 0
1, 144, 0
1, 195, 0
1, 461, 0
1, 187, 0
1, 514, 0
0, 54, 0
0, 653, 0
1, 379, 0
1, 77, 0
1, 342, 0
1, 95, 0
1, 682, 0
1, 85, 0
1, 355, 0
1, 168, 0
1, 131, 0
0, 278, 0
1, 368, 0
1, 45, 0
0, 230, 0
1, 513, 0
1, 652, 1
1, 259, 0
1, 473, 0
0, 217, 0
1, 169, 0
1, 224, 0
1, 178, 0
1, 594, 0
1, 182, 0
0, 311, 1
1, 230, 0
1, 151, 0
1, 57, 0
1, 377, 0
1, 95, 0
1, 1566, 0
1, 188, 0
0, 595, 0
1, 1422, 1
1, 448, 0
1, 162, 0
1, 69, 0
1, 285, 0
1, 621, 0
1, 230, 0
0, 536, 0
1, 808, 0
1, 227, 0
1, 442, 0
0, 225, 0
1, 397, 0
0, 440, 0
1, 275, 0
1, 477, 0
1, 791, 0
0, 101, 0
1, 188, 0
1, 376, 0
1, 680, 0
1, 156, 0
1, 206, 0
1, 231, 0
0, 63, 0
1, 363, 0
0, 490, 0
1, 709, 0
1, 62, 0
1, 342, 0
1, 95, 0
0, 60, 0
1, 164, 0
1, 712, 0
1, 504, 1
1, 717, 0
1, 124, 0
1, 26, 0
1, 570, 0
1, 241, 0
0, 52, 0
1, 165, 1
1, 769, 0
1, 342, 0
0, 578, 0
1, 166, 0
1, 675, 0
1, 546, 0
1, 295, 0
1, 245, 0
1, 485, 0
0, 50, 0
0, 49, 0
0, 30, 0
0, 33, 1
0, 53, 0
0, 39, 0
1, 568, 0
1, 155, 0
1, 174, 0
1, 1, 0
0, 56, 0
1, 232, 0
1, 507, 0
0, 183, 0
1, 179, 0
1, 486, 0
1, 250, 0
1, 406, 0
1, 31, 0
1, 737, 0
1, 141, 1
0, 50, 0
1, 540, 0
1, 620, 0
1, 146, 0
1, 117, 0
1, 641, 0
1, 318, 0
1, 784, 0
1, 519, 0
1, 76, 0
1, 197, 0
1, 144, 0
1, 196, 1
1, 427, 0
1, 316, 0
1, 536, 0
1, 104, 0
1, 1298, 0
1, 683, 0
0, 4000, 0
0, 4001, 0
0, 4002, 0
0, 4003, 0
0, 4004, 0
0, 4005, 0
1, 207, 0
1, 145, 1
1, 512, 0
1, 531, 0
1, 188, 0
1, 547, 0
1, 701, 0
1, 805, 0
1, 445, 0
1, 61, 1
1, 242, 0
1, 459, 0
1, 1180, 0
0, 49, 0
1, 167, 0
1, 532, 0
0, 1, 0
0, 227, 0
1, 304, 0
1, 177, 1
1, 476, 0
1, 186, 0
1, 512, 0
1, 618, 0
1, 735, 0
1, 415, 0
1, 486, 0
1, 175, 0
1, 429, 0
1, 596, 0
1, 303, 0
1, 423, 0
1, 210, 0
1, 341, 0
1, 445, 0
0, 1, 0
0, 41, 0
0, 11, 0
0, 11, 0
1, 593, 1
1, 589, 0
1, 181, 0
1, 784, 0
0, 46, 0
1, 403, 0
0, 485, 1
1, 358, 0
1, 739, 0
1, 212, 0
1, 402, 0
1, 532, 0
1, 322, 0
1, 151, 0
1, 412, 0
0, 46, 0
1, 406, 0
1, 73, 0
1, 575, 0
1, 1689, 0
1, 210, 0
1, 703, 0
1, 693, 0
1, 117, 0
0, 573, 0
1, 149, 0
1, 193, 0
1, 482, 0
1, 378, 0
0, 296, 0
0, 463, 0
1, 189, 0
1, 476, 0
1, 251, 1
1, 530, 0
0, 1, 0
0, 37, 0
0, 48, 0
1, 222, 0
1, 509, 0
1, 185, 0
1, 75, 0
0, 593, 1
1, 104, 0
1, 235, 0
1, 256, 0
1, 136, 0
0, 816, 0
1, 692, 0
1, 586, 0
0, 91, 0
0, 141, 0
1, 339, 0
1, 60, 0
1, 176, 0
1, 487, 0
1, 118, 0
1, 480, 0
1, 655, 0
1, 122, 0
1, 486, 0
1, 639, 0
0, 136, 0
1, 470, 0
0, 50, 0
0, 35, 0
1, 396, 0
1, 162, 0
1, 477, 0
1, 478, 0
0, 6, 0
0, 6, 0
0, 8, 0
1, 441, 0
1, 476, 0
0, 447, 0
0, 48, 0
0, 51, 0
1, 786, 0
1, 109, 0
1, 366, 0
1, 655, 0
0, 10, 1
1, 577, 0
1, 303, 0
1, 634, 0
1, 195, 0
1, 555, 0
1, 224, 0
1, 167, 0
1, 493, 0
1, 448, 0
1, 658, 0
1, 443, 0
1, 516, 0
1, 318, 0
1, 533, 0
1, 213, 0
1, 450, 0
0, 1, 0
1, 564, 0
1, 169, 0
1, 646, 1
1, 601, 0
1, 281, 0
0, 400, 0
1, 617, 0
1, 618, 0
1, 118, 0
1, 491, 0
1, 628, 0
1, 620, 0
1, 476, 0
0, 207, 0
1, 564, 0
1, 139, 0
1, 160, 0
1, 421, 0
1, 470, 0
1, 508, 0
0, 151, 0
1, 166, 1
1, 724, 0
1, 150, 0
1, 223, 1
0, 488, 0
1, 422, 0
1, 900, 1
1, 127, 0
1, 222, 0
1, 595, 0
1, 514, 0
1, 413, 0
1, 397, 0
1, 214, 0
1, 571, 0
1, 606, 0
1, 356, 0
1, 1092, 0
1, 516, 0
0, 444, 0
1, 198, 0
1, 459, 0
0, 159, 0
1, 463, 0
1, 155, 0
1, 125, 0
1, 242, 0
1, 387, 0
1, 120, 0
1, 129, 0
1, 152, 1
1, 518, 0
1, 952, 0
1, 510, 0
1, 500, 0
1, 177, 0
1, 348, 0
1, 561, 0
1, 718, 0
1, 168, 0
1, 406, 0
1, 173, 0
1, 152, 0
1, 355, 1
1, 302, 0
1, 626, 1
0, 556, 1
0, 127, 0
1, 74, 0
1, 439, 0
0, 1, 0
0, 16, 0
0, 7, 0
0, 7, 0
0, 7, 1
1, 134, 1
0, 204, 0
1, 478, 0
1, 119, 0
1, 132, 0
1, 318, 0
1, 483, 0
1, 281, 0
0, 290, 0
1, 84, 0
1, 432, 0
1, 127, 0
1, 113, 0
1, 730, 0
1, 52, 0
1, 567, 0
1, 193, 1
1, 563, 0
1, 547, 0
0, 739, 1
1, 117, 0
1, 591, 0
1, 795, 0
1, 358, 0
1, 195, 0
1, 491, 1
0, 22, 0
1, 209, 0
1, 546, 0
1, 356, 0
1, 622, 0
0, 196, 0
1, 682, 0
1, 114, 0
0, 769, 0
1, 99, 1
1, 138, 0
1, 144, 0
1, 579, 0
1, 128, 0
1, 592, 0
1, 1151, 0
1, 211, 0
1, 146, 0
1, 220, 0
1, 1454, 0
1, 216, 0
1, 768, 0
1, 229, 1
1, 441, 0
1, 290, 0
1, 128, 0
1, 434, 0
1, 428, 1
1, 456, 0
1, 116, 0
1, 110, 0
1, 669, 0
0, 20, 0
0, 24, 0
1, 468, 0
1, 329, 0
1, 440, 0
0, 698, 0
1, 434, 1
1, 593, 0
1, 528, 0
1, 562, 1
0, 636, 0
1, 652, 0
0, 49, 0
1, 472, 0
1, 380, 0
0, 42, 0
0, 62, 0
1, 460, 1
1, 630, 0
1, 97, 0
1, 650, 0
1, 1289, 0
1, 208, 0
1, 196, 0
1, 501, 0
1, 169, 0
1, 696, 0
1, 540, 0
1, 511, 0
1, 440, 0
1, 860, 0
1, 564, 0
0, 235, 0
1, 59, 0
0, 287, 0
1, 583, 0
1, 556, 0
1, 87, 0
1, 380, 0
1, 68, 0
1, 171, 0
1, 410, 0
1, 217, 0
1, 700, 0
0, 49, 0
1, 115, 0
1, 233, 0
1, 449, 0
1, 442, 0
1, 278, 1
1, 422, 0
1, 147, 1
1, 199, 0
1, 117, 0
1, 192, 0
1, 308, 0
1, 1038, 0
1, 486, 0
1, 396, 0
1, 339, 0
1, 536, 0
1, 263, 0
1, 516, 0
1, 23, 1
1, 421, 0
1, 614, 0
1, 142, 0
1, 321, 0
1, 230, 0
0, 199, 1
1, 174, 1
1, 452, 0
1, 420, 0
1, 499, 0
0, 50, 0
1, 520, 0
1, 455, 0
1, 255, 0
0, 433, 0
0, 453, 0
1, 96, 0
1, 481, 0
1, 556, 0
1, 434, 0
0, 517, 0
1, 174, 0
1, 157, 0
0, 804, 0
1, 977, 0
1, 751, 1
1, 299, 1
1, 396, 0
1, 793, 0
1, 130, 0
1, 735, 0
1, 484, 1
1, 269, 0
1, 968, 0
1, 330, 0
1, 411, 0
1, 172, 0
1, 567, 0
0, 1, 0
0, 1, 0
0, 1, 1
0, 1, 0
0, 1, 0
0, 1, 0
0, 1, 0
1, 170, 0
1, 113, 0
1, 486, 0
1, 151, 0
1, 550, 0
1, 172, 0
1, 443, 0
1, 303, 0
0, 65, 0
1, 108, 0
1, 448, 1
1, 468, 0
1, 551, 0
1, 450, 0
1, 645, 0
1, 459, 0
1, 626, 0
1, 75, 0
1, 310, 0
1, 139, 0
1, 148, 0
1, 569, 0
1, 125, 0
0, 34, 0
0, 32, 0
0, 32, 0
0, 32, 1
1, 421, 0
0, 196, 0
1, 177, 0
1, 130, 1
1, 531, 0
0, 379, 0
1, 151, 0
1, 211, 0
1, 348, 0
1, 633, 0
1, 480, 0
1, 171, 0
0, 1, 0
0, 12, 0
0, 5, 0
0, 5, 0
0, 5, 0
0, 5, 0
0, 5, 0
0, 5, 0
0, 5, 0
0, 13, 0
0, 13, 0
0, 13, 0
1, 155, 0
1, 87, 0
1, 31, 0
1, 576, 0
1, 352, 0
1, 664, 0
1, 70, 0
1, 122, 0
1, 459, 0
1, 206, 0
1, 501, 0
1, 1040, 1
1, 185, 0
1, 432, 0
1, 701, 0
1, 728, 0
1, 281, 0
1, 127, 0
1, 201, 0
1, 471, 0
1, 174, 0
1, 428, 0
1, 120, 0
1, 414, 0
1, 667, 0
1, 165, 1
1, 48, 0
1, 1665, 0
1, 181, 0
0, 4, 0
0, 4, 0
0, 5, 0
0, 3, 0
0, 886, 0
1, 32, 0
1, 177, 0
0, 18, 0
0, 18, 0
0, 18, 0
1, 412, 0
1, 488, 0
1, 504, 0
1, 498, 0
1, 240, 0
1, 383, 0
1, 735, 0
1, 468, 0
1, 377, 0
0, 392, 0
0, 501, 0
1, 566, 0
1, 297, 0
1, 130, 0
1, 232, 0
1, 190, 0
1, 553, 1
0, 57, 0
0, 60, 1
0, 60, 0
1, 431, 0
1, 89, 0
1, 706, 0
0, 277, 0
1, 593, 0
1, 742, 0
0, 586, 0
1, 173, 0
1, 400, 0
1, 586, 0
1, 343, 0
1, 321, 0
1, 735, 0
1, 668, 0
1, 456, 1
1, 126, 0
1, 435, 0
1, 56, 0
1, 240, 0
1, 490, 0
1, 185, 0
1, 41, 0
0, 56, 1
1, 133, 0
1, 86, 0
0, 91, 0
1, 558, 0
1, 136, 0
1, 236, 0
1, 399, 0
1, 188, 0
0, 54, 0
1, 464, 0
1, 483, 0
1, 263, 0
0, 819, 0
1, 238, 0
1, 774, 0
1, 381, 0
1, 54, 0
1, 130, 0
1, 511, 0
1, 122, 0
1, 220, 0
1, 138, 1
1, 628, 0
1, 275, 0
1, 222, 0
0, 162, 0
1, 1217, 0
0, 290, 0
1, 548, 0
1, 237, 1
1, 561, 0
1, 497, 1
0, 17, 0
0, 17, 0
0, 14, 0
0, 14, 0
0, 14, 0
0, 12, 0
0, 12, 0
0, 12, 0
0, 230, 0
1, 492, 0
1, 102, 0
1, 689, 0
1, 777, 0
1, 516, 0
1, 131, 0
1, 187, 0
1, 443, 0
0, 575, 0
1, 443, 0
1, 163, 1
1, 257, 1
1, 128, 0
1, 425, 0
1, 227, 0
1, 159, 0
1, 558, 0
1, 360, 1
1, 809, 0
1, 17, 0
1, 218, 0
1, 154, 0
1, 224, 0
1, 111, 0
1, 160, 0
1, 415, 0
1, 45, 0
1, 196, 0
1, 218, 0
1, 239, 0
1, 495, 0
1, 378, 0
1, 230, 1
1, 495, 0
1, 545, 0
1, 474, 1
0, 277, 0
1, 233, 0
1, 143, 1
1, 494, 0
1, 483, 0
0, 663, 0
1, 462, 0
1, 122, 0
1, 77, 0
1, 1, 0
1, 131, 0
1, 605, 0
1, 160, 0
1, 700, 0
1, 813, 1
1, 448, 1
0, 63, 1
1, 559, 0
1, 530, 0
1, 146, 1
1, 478, 0
1, 955, 0
0, 25, 0
0, 25, 1
0, 25, 0
1, 274, 1
1, 295, 0
1, 700, 0
0, 49, 0
1, 609, 0
1, 443, 1
0, 1, 0
0, 1, 0
0, 1, 0
0, 1, 0
0, 1, 0
0, 1, 0
0, 1, 0
0, 1, 0
0, 1, 1
1, 422, 0
1, 871, 0
1, 455, 1
1, 73, 0
1, 688, 1
1, 147, 0
1, 149, 0
1, 744, 0
1, 324, 0
1, 273, 0
1, 900, 0
1, 414, 0
1, 749, 0
0, 413, 0
1, 346, 0
1, 588, 0
1, 280, 0
1, 549, 0
1, 401, 0
1, 65, 1
1, 210, 0
1, 242, 0
1, 216, 0
1, 64, 0
1, 675, 0
1, 405, 0
1, 115, 0
1, 154, 0
1, 48, 0
1, 469, 0
1, 351, 0
1, 560, 0
1, 383, 0
1, 547, 0
1, 650, 0
1, 256, 0
0, 277, 0
1, 144, 0
1, 511, 1
1, 162, 0
1, 502, 0
1, 183, 0
1, 385, 0
1, 233, 0
1, 193, 0
1, 561, 0
1, 154, 0
1, 194, 0
1, 667, 0
1, 455, 0
1, 527, 0
1, 426, 0
1, 194, 0
1, 571, 0
0, 9, 0
0, 10, 0
0, 11, 0
0, 11, 1
0, 11, 0
1, 531, 0
1, 144, 0
0, 28, 0
0, 25, 0
0, 25, 0
0, 25, 0
1, 188, 0
0, 85, 0
1, 199, 0
1, 757, 0
1, 221, 0
1, 618, 0
1, 546, 0
0, 77, 0
1, 382, 0
1, 32, 1
1, 543, 0
1, 148, 0
1, 202, 0
1, 435, 0
1, 113, 0
1, 270, 1
1, 162, 0
0, 1, 0
0, 249, 0
1, 600, 0
1, 220, 0
1, 117, 1
1, 200, 0
1, 566, 0
1, 153, 0
1, 254, 0
1, 148, 0
1, 434, 0
1, 492, 0
1, 129, 0
1, 806, 0
1, 27, 0
1, 297, 0
1, 165, 0
1, 557, 0
1, 744, 0
1, 561, 0
1, 579, 0
1, 78, 0
1, 423, 0
1, 120, 0
1, 301, 0
1, 512, 0
1, 157, 1
1, 165, 0
1, 519, 0
1, 577, 1
1, 455, 0
1, 712, 1
1, 148, 0
1, 195, 0
1, 550, 0
1, 294, 1
1, 418, 0
1, 175, 1
0, 1, 0
0, 74, 0
0, 13, 1
0, 13, 0
0, 13, 0
1, 294, 0
1, 503, 0
1, 227, 0
0, 612, 0
1, 105, 0
1, 163, 0
1, 739, 0
1, 581, 0
0, 23, 0
1, 937, 0
0, 434, 0
1, 55, 0
1, 137, 0
1, 248, 0
1, 846, 0
1, 117, 0
1, 803, 0
1, 187, 0
0, 203, 0
1, 647, 0
1, 408, 0
1, 142, 0
1, 54, 0
1, 406, 0
1, 629, 0
1, 524, 0
1, 484, 1
1, 547, 0
1, 350, 0
1, 236, 0
1, 200, 0
1, 781, 0
1, 473, 0
1, 516, 0
1, 198, 0
1, 579, 0
1, 144, 0
1, 752, 0
1, 344, 0
1, 845, 0
0, 456, 0
1, 1094, 0
1, 487, 0
1, 495, 0
1, 148, 0
1, 172, 0
1, 91, 0
0, 68, 1
1, 453, 0
1, 464, 0
1, 604, 0
1, 583, 0
1, 693, 0
1, 197, 0
1, 176, 0
1, 200, 0
1, 514, 0
1, 508, 0
1, 165, 0
1, 391, 0
1, 206, 0
1, 218, 0
1, 213, 0
0, 268, 0
1, 165, 0
1, 522, 1
1, 483, 0
1, 638, 0
1, 519, 0
1, 442, 0
1, 533, 0
1, 623, 0
1, 585, 0
1, 341, 0
1, 417, 0
1, 393, 0
1, 698, 0
1, 187, 0
1, 157, 0
1, 157, 0
1, 77, 1
1, 501, 0
1, 46, 0
1, 78, 0
1, 701, 0
1, 1449, 0
1, 599, 0
1, 130, 0
1, 204, 0
1, 587, 0
1, 503, 0
1, 538, 0
1, 240, 1
1, 564, 0
1, 882, 0
1, 144, 0
1, 431, 0
1, 560, 1
1, 1080, 1
1, 152, 0
1, 299, 0
1, 622, 1
1, 288, 0
1, 283, 0
0, 61, 0
0, 60, 0
1, 470, 0
1, 324, 0
1, 556, 0
1, 624, 0
1, 179, 0
1, 366, 0
1, 135, 0
1, 646, 0
1, 658, 0
1, 462, 0
0, 269, 0
1, 382, 0
1, 128, 0
1, 697, 0
1, 474, 0
0, 81, 0
1, 306, 0
1, 525, 0
1, 483, 0
1, 395, 0
1, 616, 0
0, 43, 0
0, 43, 1
1, 702, 0
1, 267, 0
0, 28, 0
1, 561, 0
1, 530, 1
1, 207, 0
1, 208, 0
1, 645, 1
1, 94, 0
1, 260, 0
0, 45, 0
1, 181, 0
1, 400, 1
1, 354, 0
1, 914, 0
0, 161, 0
1, 156, 0
1, 676, 0
1, 432, 0
1, 413, 0
1, 802, 1
1, 356, 0
1, 448, 0
1, 152, 0
1, 126, 0
1, 145, 0
1, 402, 0
1, 457, 0
1, 372, 0
1, 150, 0
1, 500, 0
1, 648, 1
0, 203, 0
1, 150, 0
1, 225, 0
1, 417, 0
1, 334, 0
1, 414, 0
1, 181, 0
1, 584, 0
1, 382, 0
1, 345, 0
0, 164, 0
1, 1065, 0
1, 459, 0
1, 108, 0
1, 342, 0
1, 94, 0
0, 75, 1
1, 497, 0
1, 115, 0
1, 285, 0
1, 366, 0
1, 480, 0
1, 248, 0
1, 55, 0
1, 603, 0
0, 1, 0
0, 1, 1
1, 198, 0
1, 835, 0
1, 570, 0
1, 174, 0
1, 726, 0
1, 269, 0
1, 486, 0
1, 703, 1
1, 169, 0
1, 1208, 0
1, 710, 0
1, 561, 0
0, 88, 0
1, 192, 0
0, 82, 0
1, 494, 0
1, 327, 0
1, 566, 0
1, 355, 0
1, 329, 0
1, 616, 0
1, 549, 1
1, 732, 0
1, 150, 0
1, 565, 0
1, 113, 0
1, 396, 0
1, 157, 0
1, 583, 0
1, 553, 0
1, 193, 0
1, 83, 0
0, 590, 0
1, 34, 0
1, 118, 0
1, 127, 0
1, 210, 0
0, 168, 0
1, 719, 0
0, 28, 0
0, 28, 0
0, 26, 0
1, 228, 0
1, 519, 0
1, 845, 0
1, 534, 0
1, 217, 0
1, 473, 1
1, 294, 0
1, 660, 0
1, 1607, 0
1, 381, 0
1, 408, 0
1, 150, 0
1, 478, 0
0, 102, 0
1, 734, 0
0, 1, 0
1, 148, 0
0, 25, 0
0, 27, 0
0, 25, 0
0, 25, 0
0, 25, 0
0, 26, 0
0, 21, 0
0, 19, 0
0, 19, 0
0, 19, 0
0, 20, 0
0, 20, 0
1, 579, 0
1, 415, 0
1, 565, 0
1, 212, 0
0, 198, 0
1, 156, 0
1, 253, 0
1, 542, 0
1, 487, 1
1, 231, 0
1, 58, 0
0, 59, 0
1, 627, 0
1, 549, 0
1, 873, 0
1, 592, 0
1, 479, 0
1, 183, 0
0, 152, 0
1, 214, 0
1, 384, 0
0, 537, 0
1, 345, 0
1, 492, 0
1, 635, 0
1, 211, 0
1, 149, 0
1, 192, 0
1, 514, 0
1, 107, 0
1, 32, 0
0, 186, 0
1, 418, 0
1, 538, 0
1, 504, 0
1, 518, 0
1, 669, 0
1, 468, 0
0, 103, 0
1, 431, 0
1, 497, 0
1, 269, 0
1, 556, 0
1, 426, 0
1, 406, 0
1, 228, 0
1, 28, 0
1, 606, 0
1, 201, 0
1, 486, 0
1, 140, 0
1, 133, 0
1, 116, 0
1, 226, 0
1, 486, 0
1, 430, 0
1, 173, 0
1, 153, 0
1, 421, 0
1, 544, 0
0, 116, 0
1, 177, 0
1, 552, 0
0, 182, 0
1, 553, 0
1, 111, 0
1, 654, 0
1, 512, 0
1, 374, 0
1, 134, 0
1, 228, 0
1, 585, 0
1, 178, 0
1, 112, 0
1, 94, 0
1, 164, 0
1, 315, 0
0, 833, 0
1, 899, 0
0, 179, 0
1, 110, 0
1, 163, 0
1, 550, 0
1, 371, 0
1, 495, 0
1, 395, 0
0, 256, 1
1, 582, 0
1, 408, 0
1, 545, 0
0, 814, 0
0, 1179, 0
1, 144, 0
1, 501, 0
1, 453, 0
1, 182, 0
1, 205, 1
1, 936, 0
1, 110, 0
1, 665, 1
1, 189, 0
1, 156, 0
1, 513, 0
1, 618, 0
1, 1056, 0
0, 34, 0
1, 34, 0
1, 85, 0
1, 127, 0
1, 128, 0
0, 40, 0
0, 39, 0
0, 37, 0
0, 35, 0
0, 293, 1
0, 502, 0
1, 738, 0
1, 539, 0
1, 234, 0
1, 168, 0
1, 186, 0
0, 98, 0
0, 496, 0
1, 134, 0
1, 127, 0
1, 532, 0
1, 223, 1
1, 292, 0
1, 482, 0
1, 114, 0
1, 467, 0
1, 151, 0
1, 213, 0
1, 236, 0
1, 166, 0
1, 405, 0
1, 434, 0
1, 179, 0
1, 131, 0
0, 438, 0
1, 823, 0
1, 523, 0
1, 544, 1
1, 405, 0
1, 600, 0
1, 77, 0
0, 14, 0
0, 14, 0
0, 17, 0
0, 17, 0
0, 21, 0
0, 24, 0
0, 24, 0
0, 28, 0
0, 32, 1
0, 35, 0
0, 35, 0
0, 39, 0
1, 233, 1
1, 50, 0
1, 737, 0
1, 388, 0
1, 237, 0
0, 79, 0
1, 245, 0
1, 424, 0
1, 408, 0
1, 434, 0
1, 426, 1
1, 204, 0
1, 1400, 0
1, 732, 0
1, 123, 1
1, 399, 0
0, 58, 0
0, 58, 0
0, 63, 0
0, 137, 0
1, 212, 0
0, 167, 0
1, 355, 0
1, 112, 0
0, 124, 0
1, 462, 0
1, 414, 0
1, 595, 0
1, 462, 0
1, 220, 1
1, 182, 0
1, 158, 0
1, 147, 0
1, 168, 0
0, 121, 0
0, 262, 0
1, 64, 0
1, 323, 0
1, 396, 0
1, 346, 0
1, 184, 0
1, 960, 0
0, 88, 0
1, 582, 0
1, 562, 1
1, 528, 0
0, 62, 0
0, 36, 0
1, 195, 0
1, 189, 0
1, 615, 0
1, 282, 0
1, 261, 0
1, 203, 0
1, 394, 0
1, 577, 0
1, 496, 0
1, 231, 0
1, 154, 0
1, 560, 0
1, 242, 0
1, 702, 0
1, 25, 0
1, 138, 0
1, 558, 0
1, 429, 0
1, 697, 0
1, 646, 1
0, 189, 0
1, 174, 0
1, 526, 0
1, 492, 0
1, 225, 0
1, 213, 0
